Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
eco transport,INR,500,0%,0%,Low,4,32.00,312.14,,,,,,,,,,,,,,,,,
wind energy production,INR,500,0%,0%,Low,11,7.49,33.62,,,,,,,,,,,,,,,,,
renewable power plant,INR,500,0%,0%,Low,7,14.38,46.56,,,,,,,,,,,,,,,,,
3 renewable energy sources,INR,500,0%,0%,Low,4,14.98,66.59,,,,,,,,,,,,,,,,,
green design architecture,INR,500,0%,900%,Low,2,6.66,92.02,,,,,,,,,,,,,,,,,
coca cola esg,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
low waste,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green impact,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
national renewable energy lab,INR,5000,0%,0%,Low,1,19.14,84.90,,,,,,,,,,,,,,,,,
principles of sustainable tourism,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
social life cycle assessment,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco agriculture,INR,50,0%,-90%,Low,5,18.31,60.43,,,,,,,,,,,,,,,,,
wood mackenzie power & renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
total renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
about geothermal energy,INR,500,0%,0%,Low,10,5.83,54.10,,,,,,,,,,,,,,,,,
the ecology of commerce,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
types of solar pv system,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable development slideshare,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
wind energy efficiency,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
solar thermal power,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy partners,INR,50,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
geothermal plant,INR,5000,0%,0%,Low,1,5.83,17.48,,,,,,,,,,,,,,,,,
types of renewable energy resources,INR,5000,0%,0%,Low,5,19.33,39.12,,,,,,,,,,,,,,,,,
achieving sustainable development,INR,500,0%,0%,Low,8,9.87,29.97,,,,,,,,,,,,,,,,,
a renewable energy source,INR,500,0%,0%,Low,2,13.14,88.67,,,,,,,,,,,,,,,,,
about renewable resources,INR,500,0%,0%,Low,22,16.85,39.12,,,,,,,,,,,,,,,,,
five renewable energy sources,INR,500,0%,-90%,Low,4,15.45,51.19,,,,,,,,,,,,,,,,,
rooftop solar power plant,INR,500,0%,0%,Low,10,5.21,38.67,,,,,,,,,,,,,,,,,
geothermal energy plant,INR,5000,0%,0%,Low,1,5.83,17.48,,,,,,,,,,,,,,,,,
p&g sustainability,INR,50,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
uses of geothermal energy,INR,5000,0%,900%,Low,0,5.83,15.81,,,,,,,,,,,,,,,,,
chanel sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
global green energy,INR,50,0%,0%,Low,4,14.15,62.41,,,,,,,,,,,,,,,,,
ecologically sustainable development,INR,500,0%,0%,Low,2,14.98,39.12,,,,,,,,,,,,,,,,,
top 10 ethical companies,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
5 renewable resources,INR,500,0%,0%,Low,1,26.64,166.47,,,,,,,,,,,,,,,,,
explain eco friendly practices for ecotourism,INR,5000,900%,0%,Low,0,16.62,124.85,,,,,,,,,,,,,,,,,
biomass production,INR,500,0%,0%,Low,2,5.83,26.64,,,,,,,,,,,,,,,,,
environmental tourism,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green energy switch,INR,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
global reporting,INR,500,0%,0%,Low,2,6.26,188.95,,,,,,,,,,,,,,,,,
sustainable resources examples,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
renewable and nonrenewable energy sources,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
sustainable ecosystem,INR,500,0%,0%,Low,1,13.20,30.80,,,,,,,,,,,,,,,,,
green practices,INR,500,0%,0%,Low,1,19.14,79.39,,,,,,,,,,,,,,,,,
oracle sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
concentrated solar power plant,INR,500,0%,0%,Low,1,4.16,70.08,,,,,,,,,,,,,,,,,
world development sustainability,INR,500,0%,900%,Low,1,,,,,,,,,,,,,,,,,,,
biomass energy production,INR,500,0%,0%,Low,2,5.83,26.64,,,,,,,,,,,,,,,,,
sustainability reporting solution,INR,50,0%,0%,Medium,43,39.23,85.73,,,,,,,,,,,,,,,,,
toyota sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ocean power,INR,50,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
green offices,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
domestic biogas,INR,500,0%,-90%,Low,9,,,,,,,,,,,,,,,,,,,
different types of wind turbines,INR,500,0%,0%,Low,2,5.83,14.15,,,,,,,,,,,,,,,,,
adani renewables,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eolic turbine,INR,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
types of biomass,INR,5000,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
global environmental management services,INR,500,0%,0%,Low,2,0.83,34.29,,,,,,,,,,,,,,,,,
ecological tourism,INR,50000,0%,0%,Low,0,13.32,166.47,,,,,,,,,,,,,,,,,
iea renewables 2022,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy ppt,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
pellet green energy,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
re sustainability limited,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
distributed renewable energy,INR,500,0%,0%,Low,4,13.32,58.27,,,,,,,,,,,,,,,,,
sustainable development goals founder,INR,50,900%,900%,Low,3,11.33,147.33,,,,,,,,,,,,,,,,,
biomass resources,INR,500,0%,0%,Low,2,5.83,18.31,,,,,,,,,,,,,,,,,
pros of wind power,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
wind energy sources,INR,500,0%,0%,Low,5,15.81,43.28,,,,,,,,,,,,,,,,,
renewable and non renewable sources of energy,INR,500,0%,0%,Low,4,14.57,39.12,,,,,,,,,,,,,,,,,
conventional and non conventional sources of energy,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ugt renewables,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
solar energy to electrical energy,INR,500,0%,0%,Low,5,12.56,49.53,,,,,,,,,,,,,,,,,
non renewable energy resources,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
reliance renewable energy,INR,500,0%,0%,Low,7,13.40,52.44,,,,,,,,,,,,,,,,,
solar panel carbon footprint,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
wind power cost,INR,5000,0%,0%,Low,4,1.03,22.69,,,,,,,,,,,,,,,,,
sustainable impact,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainability days,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewables now,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable product initiative,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable planet,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
geothermal energy production,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
upneda solar rooftop,INR,500,0%,0%,Low,3,8.70,21.39,,,,,,,,,,,,,,,,,
traditional energy sources,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green award,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wave renewable energy,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
causes of sustainable development,INR,500,0%,0%,Low,3,14.20,29.97,,,,,,,,,,,,,,,,,
kkr renewable energy,INR,500,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
sustainable use of energy,INR,50,0%,900%,Low,5,9.34,31.63,,,,,,,,,,,,,,,,,
eco labelling,INR,5000,900%,0%,Low,1,6.66,23.22,,,,,,,,,,,,,,,,,
sustainable mountain development,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wind energy to electrical energy,INR,500,0%,0%,Low,9,5.83,34.96,,,,,,,,,,,,,,,,,
the wind power,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
towards sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
tata renewable energy,INR,5000,0%,0%,Low,2,6.66,58.27,,,,,,,,,,,,,,,,,
wind energy uses,INR,5000,0%,0%,Low,2,8.32,58.27,,,,,,,,,,,,,,,,,
reliance green energy,INR,500,0%,-90%,Low,2,18.31,66.59,,,,,,,,,,,,,,,,,
international year of basic sciences for sustainable development,INR,50,0%,-99%,Low,1,,,,,,,,,,,,,,,,,,,
wind energy resources,INR,500,0%,0%,Low,5,15.81,38.86,,,,,,,,,,,,,,,,,
globalization and sustainability,INR,500,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
ocean economy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar pv plant,INR,500,0%,0%,Low,1,16.39,106.54,,,,,,,,,,,,,,,,,
sustainable development upsc,INR,5000,0%,0%,Low,1,13.06,21.74,,,,,,,,,,,,,,,,,
onshore wind turbine,INR,500,0%,0%,Low,1,19.98,283.10,,,,,,,,,,,,,,,,,
4 renewable energy sources,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
irena hydrogen,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
environmental practices,INR,50,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
new and renewable energy,INR,5000,0%,0%,Low,1,12.36,49.94,,,,,,,,,,,,,,,,,
zero waste design,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biogas uses,INR,5000,0%,0%,Low,0,58.30,203.10,,,,,,,,,,,,,,,,,
10 renewable resources,INR,500,-90%,0%,Low,1,,,,,,,,,,,,,,,,,,,
biomass sources,INR,500,0%,0%,Low,3,4.16,5.83,,,,,,,,,,,,,,,,,
sustainable land use,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable change,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
renewable power generation costs in 2021,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
types of non renewable energy,INR,5000,0%,0%,Low,0,29.13,66.59,,,,,,,,,,,,,,,,,
puma sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
gamesa wind turbines,INR,500,0%,0%,Low,3,1.66,89.06,,,,,,,,,,,,,,,,,
solar pv efficiency,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
renewable and non renewable energy resources,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
sustainable value,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
mnre solar rooftop,INR,500,0%,900%,Low,3,12.45,66.59,,,,,,,,,,,,,,,,,
wind turbine power plant,INR,5000,0%,0%,Low,3,5.83,39.76,,,,,,,,,,,,,,,,,
principles for responsible banking,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
jsw renewable energy,INR,500,0%,0%,Low,2,13.31,58.27,,,,,,,,,,,,,,,,,
sustainable ag,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green power investment,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
indian renewable energy development agency,INR,500,900%,900%,Low,2,17.48,58.27,,,,,,,,,,,,,,,,,
top 10 largest solar power plant in the world,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wood biomass,INR,50,900%,0%,Low,1,,,,,,,,,,,,,,,,,,,
google carbon neutral,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass energy ppt,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
earth week 2022,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
hlpf 2022,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
windmill power plant,INR,500,0%,0%,Low,1,13.40,44.12,,,,,,,,,,,,,,,,,
unsustainable energy sources,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy efficiency,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
hydro wind energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
10 ways to conserve non renewable resources,INR,50,0%,0%,Low,2,16.85,22.60,,,,,,,,,,,,,,,,,
17 sustainable development goals sdgs,INR,50000,0%,0%,Low,10,16.77,166.47,,,,,,,,,,,,,,,,,
2 renewable resources,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
3 non renewable resources,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
3 sources of energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
3 types of renewable energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
3ps of sustainability,INR,50,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
5 non renewable resources,INR,500,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
5 sources of energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
5 uses of geothermal energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
6rs of waste management,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
a non renewable source of energy is,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
a renewable source of energy is,INR,500,0%,0%,Low,2,21.72,39.12,,,,,,,,,,,,,,,,,
a wind powered generator converts wind energy,INR,50,900%,900%,Low,0,,,,,,,,,,,,,,,,,,,
adani solar power,INR,5000,0%,900%,Low,4,10.00,20.81,,,,,,,,,,,,,,,,,
algae biomass,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
all natural sources of energy are renewable,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
alternative sources,INR,500,0%,0%,Low,1,18.16,28.31,,,,,,,,,,,,,,,,,
avghni renewable ene,INR,500,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
ayana renewable,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ayana renewable power private limited,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
bio gas is a renewable source of,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biogas is a renewable source of,INR,500,900%,900%,Low,0,,,,,,,,,,,,,,,,,,,
biomass and biogas,INR,500,0%,0%,Low,1,1.66,30.80,,,,,,,,,,,,,,,,,
biomass bioenergy,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
biomass energy can be obtained from,INR,500,0%,900%,Low,1,,,,,,,,,,,,,,,,,,,
biomass energy is generated from,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass energy uses,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass is,INR,500,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
biomass is a renewable source of energy,INR,500,0%,0%,Low,2,5.83,119.03,,,,,,,,,,,,,,,,,
biomass is used in the production of,INR,500,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
biomass is useful to produce,INR,500,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
biomass ppt,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass price,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
biomass pros,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
biomass renewable,INR,500,0%,0%,Low,6,5.83,34.13,,,,,,,,,,,,,,,,,
biomass uses,INR,500,0%,0%,Low,1,1.66,13.20,,,,,,,,,,,,,,,,,
blackrock tata power,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
bluefield renewable energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
brightnight power,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
brundtland 1987,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
captive solar power plant,INR,500,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
carbon disclosure project cdp,INR,500,0%,0%,Low,9,34.13,353.75,,,,,,,,,,,,,,,,,
carbon footprint can increase due to tcs,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
cfs energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
cheapest source of energy,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
circular economy the circular economy,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
clean city green city,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
coal is a renewable source of energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
coal non renewable,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
coal non renewable resources,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
coldplay sustainability,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
concentrating solar collector,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
concentrating solar thermal power,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
conscious consumption,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
conservation of non renewable resources,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
conservation of renewable resources,INR,500,0%,0%,Low,4,14.03,39.12,,,,,,,,,,,,,,,,,
conventional and non conventional energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
conventional and non conventional energy resources,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
conventional energy and non conventional energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
conventional energy resources,INR,50000,0%,0%,Low,0,74.39,253.87,,,,,,,,,,,,,,,,,
dry steam geothermal power plant,INR,500,0%,900%,Low,1,,,,,,,,,,,,,,,,,,,
earth democracy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly assessment,INR,50,0%,∞,Low,2,,,,,,,,,,,,,,,,,,,
eco friendly materials project,INR,500,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
ecosperity,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
electric power consumption,INR,500,0%,0%,Low,5,6.66,27.52,,,,,,,,,,,,,,,,,
energy and environmental materials,INR,50,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
environmental performance index 2021,INR,50,0%,-90%,Low,1,,,,,,,,,,,,,,,,,,,
environmental protection is the responsibility of,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmental stability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
estidama,INR,50,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
exhaustible sources of energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
explain how recycling practices can lead to environmental sustainability,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
first wind,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
five sources of energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
floating offshore wind 2022,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
fossil fuels are nonrenewable resources,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
fossil fuels are renewable,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
fossil fuels are renewable resources,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
fossil fuels non renewable,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
gamesa wind,INR,500,0%,0%,Low,1,1.66,88.70,,,,,,,,,,,,,,,,,
ge wind energy gmbh,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
generating electricity from geothermal energy,INR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,
geography and sustainability,INR,50,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy comes from,INR,50,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy from heat inside the earth,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy is,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy is a,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy is a renewable source of energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy is an energy generated from,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
geothermal energy is generated in two ways,INR,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal energy power plant,INR,500,0%,0%,Low,1,5.83,197.14,,,,,,,,,,,,,,,,,
geothermal energy resources,INR,500,-90%,0%,Low,1,4.99,44.95,,,,,,,,,,,,,,,,,
geothermal energy upsc,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal resources,INR,500,-90%,0%,Low,1,4.99,44.95,,,,,,,,,,,,,,,,,
geothermal sources,INR,5000,0%,0%,Low,1,6.66,32.46,,,,,,,,,,,,,,,,,
geothermal turbine,INR,50,0%,0%,Low,6,,,,,,,,,,,,,,,,,,,
geothermal water,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
gita renewable energy,INR,500,0%,900%,Low,4,12.49,57.43,,,,,,,,,,,,,,,,,
global battery alliance,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
goal 9 industry innovation and infrastructure,INR,500,-90%,0%,Low,5,14.89,80.74,,,,,,,,,,,,,,,,,
green and clean energy,INR,500,0%,0%,Low,8,13.32,39.95,,,,,,,,,,,,,,,,,
green consumption,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green energy lab,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
green energy pellet,INR,50,0%,0%,Low,16,,,,,,,,,,,,,,,,,,,
green infra,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green power plant,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
green urban,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green world renewable energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
greenest countries,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
greenest countries in the world,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
greenko company,INR,5000,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
gri g4,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
h and m conscious,INR,500,0%,0%,Low,5,1.38,4.34,,,,,,,,,,,,,,,,,
h and m sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
hedonistic sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
hm sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ijrer,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
indian renewable energy development agency limited,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
inexhaustible energy,INR,500,-90%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
inexhaustible energy sources are known as,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
inexhaustible resources,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
infrastructure sustainability council,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
inis offshore wind,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
intermittent renewable energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ireda upsc,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
irena energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
it is being generated from geothermal power plant,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
kara hurst,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
keppel renewable energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
kering sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
largest solar power plant in the world,INR,5000,0%,0%,Low,0,4.15,214.75,,,,,,,,,,,,,,,,,
lignocellulosic biomass,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
list of non renewable resources,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
living sustainably in harmony with nature drawing,INR,50,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
mahapreit,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
mahindra group renewable energy,INR,50,0%,-99%,Low,0,,,,,,,,,,,,,,,,,,,
ministry of power and renewable energy,INR,500,0%,0%,Low,1,14.98,58.27,,,,,,,,,,,,,,,,,
most environmentally friendly countries,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
most used renewable energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
natural renewable resources,INR,5000,0%,0%,Low,1,14.15,57.43,,,,,,,,,,,,,,,,,
non conventional energy,INR,5000,0%,0%,Low,0,9.99,39.12,,,,,,,,,,,,,,,,,
non conventional energy resources,INR,5000,0%,-90%,Low,1,13.24,122.26,,,,,,,,,,,,,,,,,
non conventional resources,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
non conventional sources,INR,500,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
non renewable,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
non renewable energy is,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
non renewable fuels,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
non renewable natural resources,INR,5000,0%,0%,Low,0,21.35,64.51,,,,,,,,,,,,,,,,,
non renewable source,INR,5000,0%,0%,Low,1,14.62,48.28,,,,,,,,,,,,,,,,,
non renewable source of energy is,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
nonrenewable and renewable resources,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
not a renewable source of energy,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
ntpc renewable energy,INR,500,0%,0%,Low,2,17.75,64.09,,,,,,,,,,,,,,,,,
of energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
only one earth living sustainably in harmony with nature,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
orient green power company,INR,50000,0%,0%,Low,1,6.66,37.59,,,,,,,,,,,,,,,,,
orient green power products,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
our common future 1987,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
